"Year","Site","Longitude","Latitude","pollutant","mean.obs.value"
2005,"10732003",-86.9242,33.4997,"PM10",25.8861111111111
2005,"10732003",-86.9242,33.4997,"PM25",17.9952777777778
2005,"10732003",-86.9242,33.4997,"SO4",5.269
2005,"10732006",-86.8167,33.3864,"O3",0.0475673469387755
2005,"10732006",-86.8167,33.3864,"PM25",15.7223140495868
2005,"10735002",-86.6692,33.7047,"O3",0.0455696721311475
2005,"10735002",-86.6692,33.7047,"PM25",15.2368852459016
2005,"10735003",-86.9425,33.8017,"O3",0.0466066945606695
2005,"10735003",-86.9425,33.8017,"PM25",15.4454545454545
2005,"10736002",-86.7739,33.5783,"O3",0.045207468879668
2005,"10736002",-86.7739,33.5783,"PM10",28.3559322033898
2005,"10736003",-86.7794,33.5856,"PM10",36.3618784530387
2005,"10736004",-86.7964,33.5653,"CO",3.68091168091168
2005,"10736004",-86.7964,33.5653,"PM10",49.1857142857143
2005,"10790002",-87.3397,34.3429,"O3",0.0466831275720165
2005,"10890002",-86.6161,34.7883,"PM10",19.9824561403509
2005,"10890003",-86.585,34.7287,"PM10",19.2489795918367
2005,"10890004",-86.5664,34.6203,"PM10",20.25
2005,"10890014",-86.5864,34.6877,"EC",0.641186440677966
2005,"10890014",-86.5864,34.6877,"NH4",1.83854237288136
2005,"10890014",-86.5864,34.6877,"NO3",1.05816949152542
2005,"10890014",-86.5864,34.6877,"O3",0.0432809917355372
2005,"10890014",-86.5864,34.6877,"OC",2.28163842372881
2005,"10890014",-86.5864,34.6877,"PM10",20.3559322033898
2005,"10890014",-86.5864,34.6877,"PM25",14.37
2005,"10890014",-86.5864,34.6877,"SO4",4.9661186440678
2005,"10910003",-87.8347,32.5036,"PM10",22.4081632653061
2005,"10970002",-88.0757,30.7665,"PM25",12.9445544554455
2005,"10970003",-88.0875,30.7699,"EC",0.786948275862069
2005,"10970003",-88.0875,30.7699,"NH4",1.2336779661017
2005,"10970003",-88.0875,30.7699,"NO3",0.481440677966102
2005,"10970003",-88.0875,30.7699,"O3",0.0453141592920354
2005,"10970003",-88.0875,30.7699,"OC",2.43199713217241
2005,"10970003",-88.0875,30.7699,"PM10",21.7294832826748
2005,"10970003",-88.0875,30.7699,"PM25",12.7982300884956
2005,"10970003",-88.0875,30.7699,"SO4",4.54983050847458
2005,"10970016",-88.059,30.7205,"PM10",24.0196078431373
2005,"10970016",-88.0589,30.7205,"PM10",16.9166666666667
2005,"10970030",-88.0367,30.6583,"PM10",54.0980392156863
2005,"10972005",-88.1411,30.4747,"O3",0.0452567567567568
2005,"10972005",-88.1411,30.4747,"PM10",17.2040816326531
2005,"10972005",-88.1411,30.4747,"PM25",11.4859813084112
2005,"10972005",-88.1411,30.4747,"SO2",3.45544554455446
2005,"110010023",-77.0464,38.9039,"CO",1.25234159779614
2005,"110010025",-77.1219,38.5832,"NO2",34.3408450704225
2005,"110010025",-77.1219,38.5832,"NOx",69.569014084507
2005,"110010025",-77.1219,38.5832,"O3",0.0353788300835655
2005,"110010041",-76.9581,38.8956,"CO",1.40438356164384
2005,"110010041",-76.9581,38.8956,"NO2",36.3966005665722
2005,"110010041",-76.9581,38.8956,"NOx",121.224089635854
2005,"110010041",-76.9581,38.8956,"O3",0.0347774725274725
2005,"110010041",-76.9581,38.8956,"PM10",35.7333333333333
2005,"110010041",-76.9581,38.8956,"SO2",11.7178082191781
2005,"110010041",-76.9528,38.8972,"PM25",14.962874251497
2005,"110010042",-77.0325,38.8808,"PM25",15.6470085470085
2005,"110010043",-77.0132,38.9218,"EC",0.937106382978723
2005,"110010043",-77.0132,38.9218,"NH4",2.14707368421053
2005,"110010043",-77.0132,38.9218,"NO2",37.7415730337079
2005,"110010043",-77.0132,38.9218,"NO3",1.98342105263158
2005,"110010043",-77.0132,38.9218,"NOx",84.5320334261838
2005,"110010043",-77.0132,38.9218,"O3",0.037068870523416
2005,"110010043",-77.0132,38.9218,"OC",2.60611219440426
2005,"110010043",-77.0132,38.9218,"SO4",5.35226315789474
2005,"110010043",-77.0125,38.9189,"PM25",14.5735042735043
2005,"11010007",-86.2853,32.4258,"PM25",14.6314049586777
2005,"11011002",-86.2564,32.4071,"EC",0.672033898305085
2005,"11011002",-86.2564,32.4071,"NH4",1.26878333333333
2005,"11011002",-86.2564,32.4071,"NO3",0.4923
2005,"11011002",-86.2564,32.4071,"O3",0.0443510204081633
2005,"11011002",-86.2564,32.4071,"OC",2.64675142938983
2005,"11011002",-86.2564,32.4071,"PM10",20.1724137931034
2005,"11011002",-86.2564,32.4071,"SO4",4.27566666666667
2005,"11030011",-86.9769,34.5187,"EC",0.481604651162791
2005,"11030011",-86.9769,34.5187,"NH4",1.55454545454545
2005,"11030011",-86.9769,34.5187,"NO3",0.74325
2005,"11030011",-86.9769,34.5187,"O3",0.050297520661157
